"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:75CvDpUsWBgOWUpuqmQGxb","Super America","spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","The Bad Plus","spotify:album:4yMh7KbaIqXXC9I4xP9GJD","Never Stop","spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","The Bad Plus","2010-09-14","https://i.scdn.co/image/ab67616d0000b2737a3dabfbf3d5ae3a38b1c78e","1","10","146493","https://p.scdn.co/mp3-preview/dc96e6f55adfedf8ead9e10fe4822e95f7bbcba3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USKO11000950","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5fKGL2bCpErvyuP4BGS4L6","The Corner","spotify:artist:2q37Nw8NND2z1T1KU5XVfn, spotify:artist:60k4atxgEIMFz4DWHp0le1","Christian Scott aTunde Adjuah, Braxton Cook","spotify:album:7vFWddoQjyL0jlwzizSy7N","Stretch Music","spotify:artist:2q37Nw8NND2z1T1KU5XVfn","Christian Scott aTunde Adjuah","2015-09-18","https://i.scdn.co/image/ab67616d0000b273d6a1180dff0f1d906a23e19c","1","6","94337","https://p.scdn.co/mp3-preview/b0cdbd0aafad77fe15f195bc0398a7e8ded7be97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","US8JA1535006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:76OCNJ5CEWrjtArdXpQGgg","Skip Step","spotify:artist:3C1TdpEowpf6AMf7PycuWy","Nate Smith","spotify:album:5ngHFQ0hYDlYirIE5l0if9","KINFOLK: Postcards from Everywhere","spotify:artist:3C1TdpEowpf6AMf7PycuWy","Nate Smith","2017-02-03","https://i.scdn.co/image/ab67616d0000b273865e919ad336eb18b348e085","1","2","184353","https://p.scdn.co/mp3-preview/dffd6bc73da2f0bbce1b935b113d3f4a1ce14e98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","US8JA1629002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ZIBtvdLJjC0KJYkuZTasv","Neige","spotify:artist:7wmRujhwjUN04pL50mZuQT, spotify:artist:20I1zVgMyTzt7Pappc6czv","Airelle Besson, Nelson Veras","spotify:album:1KUjCb3mGKFqYhTsdDEWg8","Prélude","spotify:artist:7wmRujhwjUN04pL50mZuQT, spotify:artist:20I1zVgMyTzt7Pappc6czv","Airelle Besson, Nelson Veras","2014-10-13","https://i.scdn.co/image/ab67616d0000b2739a1afb7b78cbf0dacf4b0b37","1","4","342363","https://p.scdn.co/mp3-preview/dc0afbceefb80e05db6539d47e28f31324c148d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FRZ131470040","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:31GXk7ii10H2Mx1cvHO5TI","No Surprises","spotify:artist:0YbhcCKyhHD3llGKNtE9UJ, spotify:artist:0ZHBP592ndKCuNxhiKtgdI","Yaron Herman, Yaron Herman Trio","spotify:album:5OCGFTXS1TWGk6d94pK4VM","Follow the White Rabbit","spotify:artist:0ZHBP592ndKCuNxhiKtgdI, spotify:artist:0YbhcCKyhHD3llGKNtE9UJ","Yaron Herman Trio, Yaron Herman","2010-10-22","https://i.scdn.co/image/ab67616d0000b27357d4f2ce74fdcdfed79b3b17","1","14","175826","https://p.scdn.co/mp3-preview/780381e786963fe5643e5d78c63d5a2702db922b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","DEA891001213","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:05U7IUqYlod7gPyZpvz5cU","Butterscotch","spotify:artist:5FnpXrrMdJVZCK54oHWqUa","Makaya McCraven","spotify:album:1S3Z7Vy1q3JxPMExQF1Pil","In the Moment","spotify:artist:5FnpXrrMdJVZCK54oHWqUa","Makaya McCraven","2015-01-20","https://i.scdn.co/image/ab67616d0000b27356727d28a3343c11af9edccb","1","8","159092","https://p.scdn.co/mp3-preview/dc252bc831f53aae3d8c3d0bcae6a2cad3d29445?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QM84B1403008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1jsnIb8rHk5GgsN3oUNB6O","Kandaiki","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","spotify:album:5yelbd379vJVsYZH2A9yYF","Animalia","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","2014-09-15","https://i.scdn.co/image/ab67616d0000b273a355055c4563c6abc0cecd7c","1","3","315664","https://p.scdn.co/mp3-preview/1e713a608f373086248899df70c8c6265190f5ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBVTB1411003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3YRfQOf4iOaIR15RAegwx2","Embers","spotify:artist:4gjFkHMQ2r46oQ7gsIQaCF","Brian Blade & The Fellowship Band","spotify:album:5InHDZVvNbDDvq917BmMgT","Landmarks","spotify:artist:4gjFkHMQ2r46oQ7gsIQaCF","Brian Blade & The Fellowship Band","2014-01-01","https://i.scdn.co/image/ab67616d0000b27360f392d92f11ee76ad622908","1","10","141853","https://p.scdn.co/mp3-preview/8aba2104bdf60c1077d32111fe1801eaad53bae0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USUG11300985","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3rndVQ0boI9cTmHct6E7S4","Get Down, Get Down","spotify:artist:3C1TdpEowpf6AMf7PycuWy","Nate Smith","spotify:album:21jRwR5n5SCwqwATmtJ7QF","Pocket Change","spotify:artist:3C1TdpEowpf6AMf7PycuWy","Nate Smith","2018-09-28","https://i.scdn.co/image/ab67616d0000b27396be9306e23a7436413ad21f","1","1","167224","https://p.scdn.co/mp3-preview/370111f76a8cc8b4355e13378ef608105dc4c8a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US8JA1864001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0sG97rWD7GN4oOYAbzfhXi","I Walk the Line - Instrumental","spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","The Bad Plus","spotify:album:6wvhtrGBFbkS8l0IMYLqZJ","It's Hard","spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","The Bad Plus","2016-08-26","https://i.scdn.co/image/ab67616d0000b2739659331838602c73867a1ba4","1","4","198760","https://p.scdn.co/mp3-preview/69b3d7b7cb5a47decfbc1741e4673a8c8eba80c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USQX91601313","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Z3wyUUPcKyw4nJkW2PqBA","Hopopono","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","spotify:album:7rXrjbrYcXG8EkqXpt0weK","v2.0 (Deluxe Edition)","spotify:artist:19f2JXwlRU26376TCKmp6L","GoGo Penguin","2014-03-17","https://i.scdn.co/image/ab67616d0000b273a5e54268be71f1d22b5c5e60","1","10","236591","https://p.scdn.co/mp3-preview/833827ada12fe67deac98ec3e50d81c449b6b9ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBVTB1409010","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2WGrMKuAwEcYGnejPyvogC","The Sound of Your Voice, Pt. II","spotify:artist:7wmRujhwjUN04pL50mZuQT, spotify:artist:0coJQDpbF12xuD4nvtne4J, spotify:artist:1Tj9jgsZ1tynAuVwXDh1Yo","Airelle Besson, Benjamin Moussay, Fabrice Moreau","spotify:album:29lr108JvBs7YR0Hz0qq9a","Try!","spotify:artist:7wmRujhwjUN04pL50mZuQT, spotify:artist:0coJQDpbF12xuD4nvtne4J, spotify:artist:1Tj9jgsZ1tynAuVwXDh1Yo","Airelle Besson, Benjamin Moussay, Fabrice Moreau","2021-02-05","https://i.scdn.co/image/ab67616d0000b273610587c69c857394c71a3236","1","2","153326","https://p.scdn.co/mp3-preview/0bcd7bc3a2ce6a1c202311ce1129acd3f6fd7ff7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","FRPZ92005830","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5YhJ3EhOBB9OnX7H32yk0M","Wringer","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","spotify:album:62rUr720cpe9cWhfnC3gBc","Shadow Work","spotify:artist:497rp5TEzJffeBnUT0BeE1","Mammal Hands","2017-11-03","https://i.scdn.co/image/ab67616d0000b273eeeaef04af7fe10e6e6b5219","1","2","192385","https://p.scdn.co/mp3-preview/e0ea57053e6254c4d445c08aa7ce358adb3905b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBVTB1721002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2fB7lE3uEUqXrV36jOSVYY","Little Walter Rides Again","spotify:artist:4QlI67Mg3LbNH3VBcExNr4","Medeski Scofield Martin & Wood","spotify:album:6CpU9BxpWBTXuD59ngzPBl","Out Louder","spotify:artist:4QlI67Mg3LbNH3VBcExNr4","Medeski Scofield Martin & Wood","2006-09-26","https://i.scdn.co/image/ab67616d0000b2730defe7c0bd1d59bfee7c5113","1","1","233533","https://p.scdn.co/mp3-preview/5f8be1290b74d0eb4e55074be980e2976e27ab49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USCTT0600001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3EWX16gyPWqh2HB1MmND36","Avail","spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","The Bad Plus","spotify:album:4di70TuVf9J97NAGO4lKMc","Activate Infinity","spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","The Bad Plus","2019-10-25","https://i.scdn.co/image/ab67616d0000b2733807dbba7d325d2cd239c1dc","1","1","195040","https://p.scdn.co/mp3-preview/faf5caf8bdbb494037becb91aacd8cec97484d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBVEV1900651","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4SVJkfw1Z69PHunArOJf8F","Peace Of Mind (with John McLaughlin)","spotify:artist:3CHhVBXSF764Uot9sN2i8L, spotify:artist:4v0R1feRiuCDch7aAheVhY","Shakti, John McLaughlin","spotify:album:05RPG1hN35ucYL4BqEBZdn","Natural Elements (with John McLaughlin)","spotify:artist:3CHhVBXSF764Uot9sN2i8L","Shakti","1977-10-24","https://i.scdn.co/image/ab67616d0000b2735f1683c60f269ce3938e47a4","1","8","202533","https://p.scdn.co/mp3-preview/66ac10f8b79fb8076708d5302caef682706fa2fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USSM17700608","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5CcAkJMkqpx7vwyYq1CQQd","As This Moment Slips Away","spotify:artist:3uaHfXYx9Fh4HjqMbrWn5S, spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","Joshua Redman, The Bad Plus","spotify:album:2tzJagRYnAeB9j65wJx2j3","The Bad Plus Joshua Redman","spotify:artist:3uaHfXYx9Fh4HjqMbrWn5S, spotify:artist:5qOfTfMzTj2dvvpWKzIFk6","Joshua Redman, The Bad Plus","2015-05-26","https://i.scdn.co/image/ab67616d0000b273dd1fa207bae05083a5131680","1","1","412613","https://p.scdn.co/mp3-preview/aa3806c3f16741cfdf7a8e1b7e28ed06231d28d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USNO11500124","spotify:user:","1970-01-01T00:00:00Z"
