"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2QZ3TaDZsHEFPYBxBWel9X","Music To Watch Girls By","spotify:artist:2hDUxXgWCMrkwhaw5aG9U1","The Bob Crewe Generation","spotify:album:1uuM4e2HTJXwP2hG18clh5","The Best Of The Bob Crewe Generation: Music To Watch Girls By","spotify:artist:2hDUxXgWCMrkwhaw5aG9U1","The Bob Crewe Generation","2006-01-01","https://i.scdn.co/image/ab67616d0000b2739d7adc02074fa01bf08ac891","1","6","173999","https://p.scdn.co/mp3-preview/67d8b734a5d3941688674bf334feb0cea80b74d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","US3M50670306","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1JkilRAxRKFjvOKsqur9rx","El Gringo","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ","Alessandro Alessandroni","spotify:album:5LKhJ089woBuOf9e3eRzHC","Selected Library Music","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ","Alessandro Alessandroni","2010-03-17","https://i.scdn.co/image/ab67616d0000b2731a3fc23749b24aa6a401caa3","1","13","83671","https://p.scdn.co/mp3-preview/45ec71b125c47de55ccc4eab8f6caff5621d94ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","FR6V80955029","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5osymbpmfLDzdS1Ij9b8oF","Bikini Girls","spotify:artist:5mfMhhHDACKNJbXdrsbrm2","Sven Libaek","spotify:album:5GcNHStDjhkIMIgWv9nDYn","To Ride a White Horse (Original Motion Picture Soundtrack) [Remastered]","spotify:artist:5mfMhhHDACKNJbXdrsbrm2","Sven Libaek","2013-02-01","https://i.scdn.co/image/ab67616d0000b2735de7f1ed939e656b29384f2e","1","4","86625","https://p.scdn.co/mp3-preview/5abff321b5648930f2194d95fa3d7e6ae285ad81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBKTV0402446","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BIj2EumM3JA6NmxPcF6C5","上を向いて歩こう","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","spotify:album:51VPN0fGRllJBCpi449czB","ベスト9!","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","2009-09-09","https://i.scdn.co/image/ab67616d0000b2735ca640a51c19062c680cd829","1","1","188960","https://p.scdn.co/mp3-preview/ca0b9d439fdd76464b00ee63d4abd5d72a31a6d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPTO07614700","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1qCNEdgQBnburyAE06WUOU","Pygar's Persecution","spotify:artist:7nNqmIVNxSboqqf9Wvv6Sr","The Bob Crewe Generation Orchestra","spotify:album:6iVEU2EApTzKQcfqkwLSVj","Barbarella (Original Motion Picture Soundtrack)","spotify:artist:7nNqmIVNxSboqqf9Wvv6Sr","The Bob Crewe Generation Orchestra","2016-12-02","https://i.scdn.co/image/ab67616d0000b2731b52aa3697365d0f1b4e125a","1","14","76280","https://p.scdn.co/mp3-preview/49f94807268e0e110564ddd30ee42001e21a6577?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","US3M51643614","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1SQmnvbrEF8Ff0Arr78YZp","Solo Theme","spotify:artist:3zIU8LPjTkHA4kvYK4UrM4","Syd Dale","spotify:album:1svikpX3DorNerwbCIGi6H","The Kpm 1000 Series - Volume 1","spotify:artist:3zIU8LPjTkHA4kvYK4UrM4","Syd Dale","2006-11-01","https://i.scdn.co/image/ab67616d0000b2732fa5c9193823b2bb3f0acaac","1","6","153680","https://p.scdn.co/mp3-preview/c8c88843bf6966444cf62c8cdb7aca385c3dfa54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBBGL0602119","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1SJcsMgecJWfRAuL1En5Vo","Spanish Eyes","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","spotify:album:7j4FDnGUG1YV0Rw0Lj3HRh","Plays Bert Kaempfert","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","1968","https://i.scdn.co/image/ab67616d0000b273ef99da9767acff9bc67cb5a6","1","3","158106","https://p.scdn.co/mp3-preview/c2ef79058670b274b20448f9e34edd73e8aff072?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USRC16703220","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2XRU5jjareUlvix4yEfCgs","Love Feeling","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ","Alessandro Alessandroni","spotify:album:4CW8oM19vtGd4TJi1qmmZu","Panoramic Feelings (Mellow Carefree Lounge Music)","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ, spotify:artist:7Kmplk6Rgd6m2JgwUoESRX","Alessandro Alessandroni, Giuliano Sorgini","2013-01-11","https://i.scdn.co/image/ab67616d0000b273a36b7c1b093e2338b86c891f","1","6","144509","https://p.scdn.co/mp3-preview/810b53c85ff5ac4aa6c59245dfcaf0c16489cf64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","IT7151071609","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0IHUvL1dg60zS368ydSl6v","Winter Vibes","spotify:artist:3ZmvBn9FZrdqkLtiqX51Fi","Olaf Christmas","spotify:album:0FF5L6ej6b8uDm5gD4y7Ir","Winter Vibes","spotify:artist:3ZmvBn9FZrdqkLtiqX51Fi","Olaf Christmas","2022-11-15","https://i.scdn.co/image/ab67616d0000b273b5a74dae5adc5f889f01ea5a","1","1","60599","https://p.scdn.co/mp3-preview/910f1910157022374587d0da7c86fd5e73ced36b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZTAZ2239509","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:68ph7ggwYQQw0NRLPam3rO","To Jean","spotify:artist:3tMQM3rDk2wPP866AFNZoJ, spotify:artist:3ScYOxb8Cg5XgKLw3RxlnY, spotify:artist:44oCA91Zsi73fzubIX6Sqh","Berto Pisano, Jacques Chaumont, Edda Dell'Orso","spotify:album:65RwEHdV9L18nZKH9M511m","Kill (Original Motion Picture Soundtrack)","spotify:artist:3tMQM3rDk2wPP866AFNZoJ, spotify:artist:3ScYOxb8Cg5XgKLw3RxlnY","Berto Pisano, Jacques Chaumont","1971","https://i.scdn.co/image/ab67616d0000b2735be641759460930385e7476e","1","7","186866","https://p.scdn.co/mp3-preview/4bef42f759da8950b2140acf372eed29d68597bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITD060501177","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3aYQfu8ftcL5T6BucutxD6","Ray Ban","spotify:artist:1AHAsPKCaYeTi1DQpmbn9w","I Marc 4","spotify:album:41ZGDJAxAzHUVWMGsMn0Di","I Marc 4","spotify:artist:1AHAsPKCaYeTi1DQpmbn9w","I Marc 4","1970-10-20","https://i.scdn.co/image/ab67616d0000b27322f8b66dd0a5844d2838dd56","1","8","175071","https://p.scdn.co/mp3-preview/8f93aabb687764e4048344f60106408a5720fe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FR10S1803432","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5neE7QBonmRXnvWmRhfOLU","Match Play","spotify:artist:3zIU8LPjTkHA4kvYK4UrM4","Syd Dale","spotify:album:1svikpX3DorNerwbCIGi6H","The Kpm 1000 Series - Volume 1","spotify:artist:3zIU8LPjTkHA4kvYK4UrM4","Syd Dale","2006-11-01","https://i.scdn.co/image/ab67616d0000b2732fa5c9193823b2bb3f0acaac","1","7","89453","https://p.scdn.co/mp3-preview/2f6c40e43ff014a8d08b3167b1dbd86a2370e711?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBBGL0602120","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1kyVbKCVjua4qlBiZOY5Fm","Poolside Patter","spotify:artist:3PwRTgh1SlgBrI0g7t82iL","Jack Fascinato","spotify:album:4X7HW29R50gbFvUpHojgqo","Call Me Old Fashioned","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-05-29","https://i.scdn.co/image/ab67616d0000b273b3059692a6e7bf0fdcbe67be","1","8","133321","https://p.scdn.co/mp3-preview/233004ff92877cff3d96eab1e6f42008a00800f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USCW61804507","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0uCE6TnibWluCUC9faSnTf","Landscape","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ","Alessandro Alessandroni","spotify:album:4CW8oM19vtGd4TJi1qmmZu","Panoramic Feelings (Mellow Carefree Lounge Music)","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ, spotify:artist:7Kmplk6Rgd6m2JgwUoESRX","Alessandro Alessandroni, Giuliano Sorgini","2013-01-11","https://i.scdn.co/image/ab67616d0000b273a36b7c1b093e2338b86c891f","1","2","194115","https://p.scdn.co/mp3-preview/90444bd1d60bc055f9ba5619a1caae5d178583b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","IT7151071605","spotify:user:","1970-01-01T00:00:00Z"
