"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:37hLNwjOWV2MAC4NJv3dxe","La Chapelle au clair de lune","spotify:artist:17biBe7LOJ6V6OH4aAHbXc","Léo Marjane","spotify:album:6l6NB0K3Vq6ENDaMujgvPj","La Chapelle Au Clair De Lune","spotify:artist:17biBe7LOJ6V6OH4aAHbXc","Léo Marjane","1992","https://i.scdn.co/image/ab67616d0000b27314599452593916c2610af080","1","1","193933","https://p.scdn.co/mp3-preview/b491e02d589fcd9238d76290da3ca36a16436256?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","FRZ113700450","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ZMQDim8dMaZyxdMh1u78J","Ronsard 58","spotify:artist:5fXXO5xpwo7iHGq6z83Oly","Michèle Arnaud","spotify:album:3l4FQnLpRqXvk40JMcGhVf","La chanson de prévert","spotify:artist:5fXXO5xpwo7iHGq6z83Oly","Michèle Arnaud","2018-06-26","https://i.scdn.co/image/ab67616d0000b2736d6d26b53257eb9f09f0a681","1","3","104829","https://p.scdn.co/mp3-preview/e41f789a520d412280c90ddf0a0fab2e224bf730?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FR4HR1807301","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Yw7Ue9Z8kSBqWKPi5uCTn","Ça, c'est Paris","spotify:artist:5rwMulNqLAtIpq7bm0mgHh","Colette Renard","spotify:album:65y1IKpHQSVK4ZKsDZZCx5","Ça c'est de la musique + 29 succès de Colette Renard (Chanson française)","spotify:artist:5rwMulNqLAtIpq7bm0mgHh","Colette Renard","1958","https://i.scdn.co/image/ab67616d0000b2733a2b056575d329d0d22d6ccc","1","22","111600","https://p.scdn.co/mp3-preview/30e63e61fd08bb72a275c57361c1ed788aaffe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","FRC681007480","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6NuH8ic8t4h3MXeftkWyLs","Les plaintes de la plaine","spotify:artist:3rbOOc4VJ3BFxQXKppOuQP","Jeanne Moreau","spotify:album:2EH3mj2800pRq3oFFpJ7FB","Les Chansons De Clarisse","spotify:artist:3rbOOc4VJ3BFxQXKppOuQP","Jeanne Moreau","2000-01-01","https://i.scdn.co/image/ab67616d0000b2734b216d4255d741dea3e39e66","1","16","76600","https://p.scdn.co/mp3-preview/867963b7eab889f6344e5a615c36d3b4cea98da3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","FRZ026800950","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2I1GrtYRpkNWOyVrkYFVP7","Les Quais De La Seine","spotify:artist:3EgEPntANThgR5WDgznAmM","Lucienne Delyle","spotify:album:5R4e2oFbPEnBPFLoSQOL0H","Mon Amant De Saint-Jean","spotify:artist:3EgEPntANThgR5WDgznAmM","Lucienne Delyle","2002","https://i.scdn.co/image/ab67616d0000b2736b29367a8480e3f6813d0c7f","1","25","157186","https://p.scdn.co/mp3-preview/f9f33c88b2455f6e94fa42bd83a9aab74757315c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","FR6V84900044","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3NCdGaLsOOm4xlqdH0fjuI","La Seine","spotify:artist:2ou5vHf8Vp1ru210N1fi5F, spotify:artist:3YbvJxUxRDaLxoe7K5nPV8, spotify:artist:1Zz0qtkLEAJvEmi3w6QKRO","Daniel Colin, Dominique Cravic, Claire Elzière","spotify:album:6xkpSZA1I5GGQ706McVrCr","French Cafe Music","spotify:artist:2ou5vHf8Vp1ru210N1fi5F, spotify:artist:3YbvJxUxRDaLxoe7K5nPV8, spotify:artist:1Zz0qtkLEAJvEmi3w6QKRO","Daniel Colin, Dominique Cravic, Claire Elzière","2007","https://i.scdn.co/image/ab67616d0000b273b59f9dd64daae845227ac78a","1","3","191040","https://p.scdn.co/mp3-preview/e45ed517317b02d93a92fa10765b7ffe7c713a09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","FRX190902167","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3H2MmJnehQaxzDXlYwvq4g","Les jardins de Paris","spotify:artist:7ssjdEsG8OFwnhkPnW9WYZ","Cora Vaucaire","spotify:album:1vZ5suQt0yhlMswggBafvZ","La dame blanche de Saint-Germain-des-Prés","spotify:artist:7ssjdEsG8OFwnhkPnW9WYZ","Cora Vaucaire","2010-08-23","https://i.scdn.co/image/ab67616d0000b273132e3d358150a9acd14a701b","1","9","175533","https://p.scdn.co/mp3-preview/e3241d99c0c35626f7b97aaa09ad332b64807bf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR6V80873089","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3JFJBfCRdkmnXuPnZKlXbq","Tout doux tout doucement","spotify:artist:3X0bU2WHDLK1NPKp5OELHa","Marcel Amont","spotify:album:35l1plJdiDKeMG0sKmEn7O","Tout doux, tout doucement + 18 succès de Marcel Amont (Chanson française)","spotify:artist:3X0bU2WHDLK1NPKp5OELHa","Marcel Amont","1959","https://i.scdn.co/image/ab67616d0000b2739a1280e26c7cf82c88ca6682","1","2","154933","https://p.scdn.co/mp3-preview/ed36a13b0e2e1942633a052a07085e6eb8d364cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","FRC681003910","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7IvcoKvuEJ4cJRGLTrF5RJ","Ah dis donc, dis donc","spotify:artist:5rwMulNqLAtIpq7bm0mgHh","Colette Renard","spotify:album:65y1IKpHQSVK4ZKsDZZCx5","Ça c'est de la musique + 29 succès de Colette Renard (Chanson française)","spotify:artist:5rwMulNqLAtIpq7bm0mgHh","Colette Renard","1958","https://i.scdn.co/image/ab67616d0000b2733a2b056575d329d0d22d6ccc","1","2","122760","https://p.scdn.co/mp3-preview/5a3db171ec054394f63be1949deacdb7acfa1fde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","FRC681007280","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6lFeopbQGpsSqOFKslnkXR","Malade d'amour","spotify:artist:0TQUgpZqEnfluYEfKQBYB6","Henri Salvador","spotify:album:1ztrekhEwVgdGXymSenBsw","Henri Salvador : Les débuts 1943 - 1950","spotify:artist:0TQUgpZqEnfluYEfKQBYB6","Henri Salvador","2001","https://i.scdn.co/image/ab67616d0000b273154012bf752e4b02f3f8a427","1","2","117995","https://p.scdn.co/mp3-preview/2f2f8b13f2cc80fe92fc787672d93b2469f7d067?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","FR6V81480771","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:724ThKBHPECKlwYmJfTGGP","Un Gamin De Paris","spotify:artist:0V66xtb6Cwy4yPAqgUQnzk","Francis Lemarque","spotify:album:64FR1aLfzDmqTH8hGJLPrt","Chante Paris","spotify:artist:0V66xtb6Cwy4yPAqgUQnzk","Francis Lemarque","2007-03-22","https://i.scdn.co/image/ab67616d0000b273877bc114d671de5f465217bb","1","14","148573","https://p.scdn.co/mp3-preview/c4a856d62c3182b7cb345c8a82018b1445a73514?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR6V85700054","spotify:user:","1970-01-01T00:00:00Z"
