"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5EuEohyUumOrTtV8IeicKy","I Stumbled over You","spotify:artist:5kCKFX6zTa94ggHaAtAdrR","Victor Arden & Phil Ohman","spotify:album:4O4sQCbiWlYoI3XVRWfgNf","Dance Bands Hits of the 30's & 40's","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-02-07","https://i.scdn.co/image/ab67616d0000b2731abbc5f0af10d0ecfe649184","1","9","169001","https://p.scdn.co/mp3-preview/ed7253dfa25718e46db88e2f36191528c6ebda0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","NLB031300037","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2GzcF2yzPbho8JHQzkPL90","Yes She Do (No She Doesn't)","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","spotify:album:4YUK7tayeaHbrsRYDxxIkJ","Roaring Twenties","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","2020-10-29","https://i.scdn.co/image/ab67616d0000b273b56486825c37e695fadbe5f1","1","15","163133","https://p.scdn.co/mp3-preview/ddd672a1097fa8540e3dda303682f0307a1a98f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","AUXN22094322","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2M83N33wfpOyQPm3JtKL4t","Dixieland Instrumental Jazz","spotify:artist:6k8QWZqg6YrVsPxv8Wl8Se","New Orleans 1920s Jazz","spotify:album:4NJhpYo2AwUpNQKuNXcdkt","1920s Dixieland Jazz Background","spotify:artist:6k8QWZqg6YrVsPxv8Wl8Se","New Orleans 1920s Jazz","2019-10-02","https://i.scdn.co/image/ab67616d0000b273e3fc71a50d84c3fa4e784a7e","1","4","90812","https://p.scdn.co/mp3-preview/64184ebef6d29051b6d8930c5ae485cabe77d4bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","GBSMU6970819","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0woE0dUaUbPbGtqFYDJ6G2","Washin' the Blues from My Soul","spotify:artist:46Zxq2wQhRKm3AUKKbGzC0","Russell Brown And His Orchestra","spotify:album:7AYzb6p5PBI2EczuO6xqHV","The Big Broadcast, Vol. 3: Jazz and Popular Music of the 1920s and 1930s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007","https://i.scdn.co/image/ab67616d0000b273c2f98c62d1623090dcc9b295","1","8","186120","https://p.scdn.co/mp3-preview/7597fe9c740b3dd5efda8f42c724d26dbfe9679a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","US6R21320857","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1RMt2IJ73eUW06nTqHjEgS","Say It Isn't So","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","spotify:album:6PiZzTyHDSS6GlI2NGao1I","Old Man Harlem (1931 - 1933)","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","2012","https://i.scdn.co/image/ab67616d0000b273072f534eba92564e61b40ffe","1","5","219986","https://p.scdn.co/mp3-preview/ebb87f4ba8c58476f24c522a50e462373f9a1547?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","DEBL61298718","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5hCJR1ikxjKpbOiRICumY0","Ballet Sketch","spotify:artist:1zdmzXgmttDoClhahiCPts","Joseph Engleman","spotify:album:01TIz2hzP72eqGFkkBIIj3","Vintage: The Age of Elegance","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-07","https://i.scdn.co/image/ab67616d0000b273d9b5b520bc564acb605ce885","1","28","89287","https://p.scdn.co/mp3-preview/6b152702691bf0ce58475f3504e1ed43b3caa662?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","QMGXA1418566","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3dOK24ZvLOlPjYktKZbckJ","Between The Devil And The Deep Blue Sea","spotify:artist:5SguMzNsojVk03s64Ggzad","Helen Forrest","spotify:album:3vTbzq3jHCEXLC5PbniHbK","Helen Forrest: The Complete World Transcriptions","spotify:artist:5SguMzNsojVk03s64Ggzad","Helen Forrest","2004","https://i.scdn.co/image/ab67616d0000b27399a5b990a6c6ef3c157ff99d","2","25","120975","https://p.scdn.co/mp3-preview/cbca78a52ee6373e3942d82ff3a4530f47d29cdf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","US53D0414541","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5a7J6ZcfiJKb9awAnGl1qJ","Castle of Dreams","spotify:artist:2bY3IduGK03YI2vZpE1vJG, spotify:artist:2RLpFsSPsiB1LKXcDVac4Q, spotify:artist:0vbIVXZdXBBmEdKkIFdGxA","Glen Gray, Casa Loma Orchestra, Kenny Sargent","spotify:album:7s4Ms9y57pFkdkHkKsBOSv","1940","spotify:artist:2bY3IduGK03YI2vZpE1vJG, spotify:artist:2RLpFsSPsiB1LKXcDVac4Q","Glen Gray, Casa Loma Orchestra","1983","https://i.scdn.co/image/ab67616d0000b2737e3dbfd95d2e46bfbd1ba800","1","7","159226","https://p.scdn.co/mp3-preview/236fff4dbcc291d94558009f2845f048ead2cdd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USC9R8306107","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4LaWGvzm6a2bbS0fswpn2e","Sugar","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","spotify:album:0jUwkg1H4cHZDXCCNLWfzU","1934-1938","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","2007-05-30","https://i.scdn.co/image/ab67616d0000b2733d602e046145e070486cb304","1","2","174386","https://p.scdn.co/mp3-preview/26fa910c5e0349a19dfa521ad36845a28a26261d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","NLB150400119","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5qfuMfQRv3jHMmOGrTRncy","Vo-Do-Do-De-O Blues","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","spotify:album:4YUK7tayeaHbrsRYDxxIkJ","Roaring Twenties","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","2020-10-29","https://i.scdn.co/image/ab67616d0000b273b56486825c37e695fadbe5f1","1","17","190960","https://p.scdn.co/mp3-preview/40819340b7e66a05d2f5926ae49110356268143b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","AUXN22094324","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4K4xzGxNbRtCCZRMQh0ZY1","For Dancers Only","spotify:artist:18jtZOrx6tBZJkNqlYVziV","Doug Aiton","spotify:album:7gK6nwJcf2XzD9yo09QceY","Jazz Favourites, Vol. 2","spotify:artist:18jtZOrx6tBZJkNqlYVziV","Doug Aiton","1997","https://i.scdn.co/image/ab67616d0000b273a9ab36c8218a795dad1a1231","1","3","166426","https://p.scdn.co/mp3-preview/53145c6f3d40455fc970f49d2fbda73be48c572e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","AUOM01901563","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0GJwC9BVSUqxAqxee3dgn8","I Know Why","spotify:artist:7yJ74d8IUMgW1u8CHgxU6U","Members Of The Glenn Miller Orchestra","spotify:album:1hB6zi9XTmUDoxTOG6xyhn","The Big Band Era , Volume 8 - The Passing Of An Era","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1978","https://i.scdn.co/image/ab67616d0000b273804f5824b47ad4f3aa993de9","1","12","167440","https://p.scdn.co/mp3-preview/9d41ebd1acbe5bc96f08f624db339ceff16188b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USA560974369","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4RlMNxCvWwFeSRdSfnbUVG","Palesteena (1920)","spotify:artist:112yP6AwAT6QG34fiGGpmh","Original Dixieland Jazz Band","spotify:album:0jG45TXuXYhtcNxdbtrJrS","One-Step - Early Jazz Recordings","spotify:artist:112yP6AwAT6QG34fiGGpmh","Original Dixieland Jazz Band","2021-04-30","https://i.scdn.co/image/ab67616d0000b2731838eadab2d8de81bdfa8a0c","1","19","167226","https://p.scdn.co/mp3-preview/8dfdbf4f5c70985b158f951ab031f0454403c9bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","AUXN22150526","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5Zh5S7Z4BGpdvbLCJnuuxR","A Lover's Lullaby (Twilight Reverie)","spotify:artist:2bY3IduGK03YI2vZpE1vJG, spotify:artist:2RLpFsSPsiB1LKXcDVac4Q","Glen Gray, Casa Loma Orchestra","spotify:album:2Ghed2rw5J7LyuA0PdmTBc","Mostly 1939","spotify:artist:2bY3IduGK03YI2vZpE1vJG, spotify:artist:2RLpFsSPsiB1LKXcDVac4Q","Glen Gray, Casa Loma Orchestra","1990","https://i.scdn.co/image/ab67616d0000b273020bdfea143698472bd67de1","1","6","185733","https://p.scdn.co/mp3-preview/6c94602576b4ca54e4afc349ca30823b89eb154b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USC9R9003606","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0HnP7biDJAh7JlZJFaOb67","There'll Be a Hot Time in the Town of Berlin","spotify:artist:2KSxJY1WxGGVYSmoM0N54P","Woody Herman","spotify:album:2Z1RgkIhU16jBCaGRa6ONa","125th Street Prophet","spotify:artist:2KSxJY1WxGGVYSmoM0N54P","Woody Herman","1946","https://i.scdn.co/image/ab67616d0000b273f6ffb7b9b98313adb4ba561e","1","18","165792","https://p.scdn.co/mp3-preview/7973c3c4828bf6603e80a0426aeccf73ca875869?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBXHC2039324","spotify:user:","1970-01-01T00:00:00Z"
