"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3M2jdVXsYo6Q7qpmh5nvX6","Rum And Coca-Cola - 1944 Single Version","spotify:artist:2NCGI6dLTxLdI9XHdv7QfM, spotify:artist:5wHn4S5C2d5fqXIPnJWe42","The Andrews Sisters, Vic Schoen & His Orchestra","spotify:album:2qM7vNGo3fHaMzRRagKHTK","50th Anniversary Collection (Vol. 1)","spotify:artist:2NCGI6dLTxLdI9XHdv7QfM","The Andrews Sisters","1987-01-01","https://i.scdn.co/image/ab67616d0000b273b545de9d06f4281d1c43b1f5","1","12","190000","https://p.scdn.co/mp3-preview/72a7afe060cba61fe88f5d5ecfa9fe0f38607ddf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USMC14472460","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2C7A6Q8Im35rnZaOdt5jr8","One Mint Julep - 2007 Remaster","spotify:artist:0ckkj0a9CvIJr4h84B0OlN","The Clovers","spotify:album:39FLNjOqur5u3WbvsoFg6S","Down In The Alley: The Best Of The Clovers","spotify:artist:0ckkj0a9CvIJr4h84B0OlN","The Clovers","1991","https://i.scdn.co/image/ab67616d0000b27337bfe4cb33da15564f416306","1","1","150066","https://p.scdn.co/mp3-preview/910cfbe4168590589645fbd9073110105db3d3aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT20703257","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5ZfgbRJ5av8j1Wy9vnd3oB","Jeeves And Wooster","spotify:artist:41dLItQx3PSyP6n1AMd87b","Anne Dudley","spotify:album:4iGg5lvaRzTx9Brn6lZcx3","The World Of Jeeves And Wooster","spotify:artist:41dLItQx3PSyP6n1AMd87b","Anne Dudley","1992","https://i.scdn.co/image/ab67616d0000b2738483f823c1f21e8d54cf9fed","1","1","74533","https://p.scdn.co/mp3-preview/335e40e2a20b80483c4e27a4a4522b8e39868766?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GB01A9200001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5TjO0GOOon3R6YOnRFPwzk","Chicago","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","spotify:album:1I1E1ZUYFDK0Dn4DK5YmrH","The Best Of Benny Goodman","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","1997-01-01","https://i.scdn.co/image/ab67616d0000b273786965f18ad7960240020a43","1","8","179840","https://p.scdn.co/mp3-preview/2b620db2608e39833961c968a4c9dc35b1b9b303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USCA29701307","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3XDharvL8vEyxdQwOQKmww","On the Sunny Side of the Street (From ""Is Everybody Happy?"")","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","spotify:album:6TR1Y1qDb1bdZUcDtSvZgw","The Sentimental Gentleman Of Swing - The Tommy Dorsey Centennial Collection","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","1925","https://i.scdn.co/image/ab67616d0000b273672f86dd8f00de980c46030c","2","17","194320","https://p.scdn.co/mp3-preview/330cd6d2c25e6bcc2690d3602d257adba087d487?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USBB14401016","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1R0F50VZmBEAJs2UErdQB8","You're No Good","spotify:artist:53jXEVVJtpaWVQ3ffvhDtl","Betty Everett","spotify:album:1dk4K7HyNkVh5ZwZzZD5il","Hot to Hold","spotify:artist:53jXEVVJtpaWVQ3ffvhDtl","Betty Everett","1982","https://i.scdn.co/image/ab67616d0000b273933ee730d7acde25cca720cb","1","2","136882","https://p.scdn.co/mp3-preview/d01e26f4630e4d9e9d8b9b845d15276bbbacee67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DEZZ42170722","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2r5seNRSheLITyH4cevy2O","Let The Sunshine In (Reprise) - Remastered 2000","spotify:artist:1UUYAQ9LiRsZF0ZukQNWXM","The 5th Dimension","spotify:album:1kVipwgtVNAaHM7Py341Ch","The Age Of Aquarius","spotify:artist:1UUYAQ9LiRsZF0ZukQNWXM","The 5th Dimension","1969","https://i.scdn.co/image/ab67616d0000b273ea38fd37178bbcb6d57269f3","1","12","87800","https://p.scdn.co/mp3-preview/95e031dd86f2220445b6a92f397a1ea94273e0bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAR10001758","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3q7bocwm0CyNZcdh5i9x28","The Beast","spotify:artist:6R8OZtD9TL5Wki7Shzm8fb","Milt Buckner","spotify:album:7qqPA44jkDh24gruUqz8oO","The B3 Club","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-03-04","https://i.scdn.co/image/ab67616d0000b2738d7335b30ddc937a8e2f3511","1","8","147440","https://p.scdn.co/mp3-preview/d0dd51a2a0358756b67ec70c75a9a099ff51fcfe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","AUXN22228877","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5cdHRbjhYzNUSvzWWDfKcC","Love Me Right","spotify:artist:0V6zo2mJw9FdwWLClKC9yw","LaVern Baker","spotify:album:1nTzKUnHcWvrDDWxvuUYbi","Blues Ballads","spotify:artist:0V6zo2mJw9FdwWLClKC9yw","LaVern Baker","2005-12-20","https://i.scdn.co/image/ab67616d0000b2731efbce4423ffc59156966d8a","1","4","114946","https://p.scdn.co/mp3-preview/b736aca959d657ad74951f51e5482a3e8101d687?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAT20503938","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1YQWosTIljIvxAgHWTp7KP","Take Five","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:0nTTEAhCZsbbeplyDMIFuA","Time Out","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1959-12-14","https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51","1","3","324133","https://p.scdn.co/mp3-preview/8f8fbddda11b8aa78b3fd15323d9e1c7521f6585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM15900108","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:62eAoNfrrS84177LOzJMQx","Papa Loves Mambo","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","spotify:album:3Eg4Laj6Pm6GwV6VF2I1Q8","Pure Gold","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","1975-09-30","https://i.scdn.co/image/ab67616d0000b273f59578709fd742ab6a48dccb","1","9","162106","https://p.scdn.co/mp3-preview/be084c29e6b55bc8156b912c6b70ae9f31193a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRC15404658","spotify:user:","1970-01-01T00:00:00Z"
