"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1hJdhAPWppuTC6HQYz42pq","Sally’s Tomato","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:24sxf0mZUTTjCQEo54gaYt","Breakfast At Tiffany's (Bonus Track Version)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2012-01-02","https://i.scdn.co/image/ab67616d0000b27353ac385a1bd77bf5a314384b","1","3","189386","","false","0","USA561128235","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:0Q4So1rOHsY8Zk5Jb3AHDH","Liz-Anna","spotify:artist:3XOVABzceOUTbR3iEz0ImO","Cal Tjader","spotify:album:7yhw2FGnAtB6LAPwPgmIkH","Essential Mambo Jazz Masters (1954-1960)","spotify:artist:3XOVABzceOUTbR3iEz0ImO","Cal Tjader","2013-02-01","https://i.scdn.co/image/ab67616d0000b273c70e6d1571b5d67634dfd203","2","28","227920","","false","0","USCHR1375816","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:1jogiSBAFL0u2HTCqZ4TC4","Caravan - Remastered","spotify:artist:3ssbsrQezgsvYjUsrydL5k","John Buzon Trio","spotify:album:2AAQHjT8SmbNdKsYIO9dfI","Ultra-Lounge / Bachelor Pad Royale Volume Four","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1996-01-01","https://i.scdn.co/image/ab67616d0000b2735e51ad4ca897916b57bc0ffd","1","2","160333","https://p.scdn.co/mp3-preview/fbdf0ca31473760dae32c2bad3c4c95b3c1ca137?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USEM39500233","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:4WS4N00UwMdop1OiJEta74","Megeve","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:0s6hs4iFh5wZwjsOAZIb1f","Martinis With Mancini","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1997-09-18","https://i.scdn.co/image/ab67616d0000b2734c876ee21464a85b7582c5c4","1","17","178560","https://p.scdn.co/mp3-preview/bf5f760d10dacd6c21782abd17ca70cae344b68f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USRC16306064","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:65eLlVlvFJiPrqLvC0FSLE","Honey Bun","spotify:artist:35pV6EUbherudlvAftoueR","Les Baxter","spotify:album:4IemXDhRg971lxUzWRMOv7","Summer Place (Remastered)","spotify:artist:35pV6EUbherudlvAftoueR","Les Baxter","2012-10-08","https://i.scdn.co/image/ab67616d0000b273e52483f955ce6b147dfbbb3d","1","4","121721","","false","0","GBN8H1213808","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:50MzGlHoBtpHvdv7cEp3in","Loose Caboose","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:24sxf0mZUTTjCQEo54gaYt","Breakfast At Tiffany's (Bonus Track Version)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2012-01-02","https://i.scdn.co/image/ab67616d0000b27353ac385a1bd77bf5a314384b","1","10","192506","","false","0","USA561128242","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:490Dg7osL52GBjdQWLkhi2","Girl Talk - Remastered 2009","spotify:artist:31dzqfP4E1mlWfuSGYENRF","The Howard Roberts Quartet","spotify:album:2Qv7S5PJ4UkyJZacCwaWqd","Ultra-Lounge: Fuzzy Retail Sampler","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1996-01-01","https://i.scdn.co/image/ab67616d0000b273d23b3fa9808eaa02159cbe09","1","11","172133","https://p.scdn.co/mp3-preview/2b5a5bad79e566837fa720492e2eb16c0def91d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USCA29501200","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:6VB4NISQyautyrBN1SGzgJ","Blue Samba - Remastered","spotify:artist:6y7dRlvApiCjP12JrxWQjh","Ike Quebec","spotify:album:4ntjTCmyhwHIsK12RScxRP","Bossa Nova Soul Samba (Rudy Van Gelder Edition)","spotify:artist:6y7dRlvApiCjP12JrxWQjh","Ike Quebec","2007-01-01","https://i.scdn.co/image/ab67616d0000b273db50d7f089553b0f41d0293a","1","7","317560","https://p.scdn.co/mp3-preview/12eec4a9d3b77f31c8787571f5ae2fd34501beac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USBN20700518","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:5UwQfyNe7MRXBTFH8B2xN3","Amy's Theme - Remastered","spotify:artist:3D9J9nPNW1cBktx5apJq4V","Martin Denny","spotify:album:5utRkK1KmqAY9H5UiRT2WM","Ultra-Lounge: Bossa Novaville","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1997-01-01","https://i.scdn.co/image/ab67616d0000b27339971cad780745ca21aaed5d","1","5","178266","https://p.scdn.co/mp3-preview/28f2e2707762aa2eca7af2fecde567b361a528f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USEM39600302","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:4VN4UyLpgCZQjGIcSEziPx","Serenata - 1996 Digital Remaster","spotify:artist:5u7FXbK7whWNTbgeicnbG9","Jonah Jones","spotify:album:0HXN6vf6gZmYf2Kke5ciwP","Ultra-Lounge: Rhapsodesia (Volume Six)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1996-01-01","https://i.scdn.co/image/ab67616d0000b27311a076bea39332861bfa800a","1","2","167640","https://p.scdn.co/mp3-preview/7950d29eb300596924b7c7df79b3261ddbbf6e43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USCA29501203","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:0LaMgubVxb2mZ7WUBAz105","Mini Skirt","spotify:artist:42kHi9ZIpRGtgjP8ZB4jsi","Esquivel!","spotify:album:2g7l87w0dVuZPBRHzg9Iqv","Esquivel! 1968","spotify:artist:42kHi9ZIpRGtgjP8ZB4jsi","Esquivel!","2010-05-15","https://i.scdn.co/image/ab67616d0000b273f9eabd7cd6293a5c912ff035","1","7","152600","https://p.scdn.co/mp3-preview/68fd4a81fe823bf122ae96b822432c939e834062?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USCXG0900341","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:4OO6LF5xH8V3exPbcSIKSQ","My Friend Andamo - From ""Mr. Lucky""","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:1uPdq0vJgbG91PulSQRMSD","Muisc from Mr. Lucky and Mr. Lucky Goes Latin","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2013-04-03","https://i.scdn.co/image/ab67616d0000b27388cf7c83a95eac62765e84ae","1","2","212520","","false","0","USV291389239","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:0nMDaIz2MO3xDGPusO9NNe","Big Bear","spotify:artist:3XOVABzceOUTbR3iEz0ImO","Cal Tjader","spotify:album:7yhw2FGnAtB6LAPwPgmIkH","Essential Mambo Jazz Masters (1954-1960)","spotify:artist:3XOVABzceOUTbR3iEz0ImO","Cal Tjader","2013-02-01","https://i.scdn.co/image/ab67616d0000b273c70e6d1571b5d67634dfd203","2","30","274720","","false","0","USCHR1375818","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:1kbW7vmN04NkdkSpAEgRj7","Sophisticated Savage","spotify:artist:35pV6EUbherudlvAftoueR","Les Baxter","spotify:album:6wdbjnAeQkRDwPzlM6HC3S","Ritual Of The Savage","spotify:artist:35pV6EUbherudlvAftoueR","Les Baxter","1951-01-01","https://i.scdn.co/image/ab67616d0000b27322e801ad6c2fd9e839680bcd","1","2","135853","https://p.scdn.co/mp3-preview/4aa5c3eac64fa0862d12dc1009593baf0954fc8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USCA20801972","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:2uvM2X4NpuZNhAC3EEAeaj","Night Flower - From ""Mr. Lucky""","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:1uPdq0vJgbG91PulSQRMSD","Muisc from Mr. Lucky and Mr. Lucky Goes Latin","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2013-04-03","https://i.scdn.co/image/ab67616d0000b27388cf7c83a95eac62765e84ae","1","9","145880","","false","0","USV291389246","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:4p3xsYqpjgykCnn0lawOik","Blue Satin - From ""Mr. Lucky""","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:1uPdq0vJgbG91PulSQRMSD","Muisc from Mr. Lucky and Mr. Lucky Goes Latin","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2013-04-03","https://i.scdn.co/image/ab67616d0000b27388cf7c83a95eac62765e84ae","1","11","155400","","false","0","USV291389248","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:6qkAvnWsm2SUotn0XWr1tI","Speedy Gonzales - From ""Mr. Lucky Goes Latin""","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:1uPdq0vJgbG91PulSQRMSD","Muisc from Mr. Lucky and Mr. Lucky Goes Latin","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","2013-04-03","https://i.scdn.co/image/ab67616d0000b27388cf7c83a95eac62765e84ae","1","24","104146","","false","0","USV291389261","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:28k6aoAzN4Xy22vJ9paTIy","Barquita","spotify:artist:35pV6EUbherudlvAftoueR","Les Baxter","spotify:album:6wdbjnAeQkRDwPzlM6HC3S","Ritual Of The Savage","spotify:artist:35pV6EUbherudlvAftoueR","Les Baxter","1951-01-01","https://i.scdn.co/image/ab67616d0000b27322e801ad6c2fd9e839680bcd","1","5","105653","https://p.scdn.co/mp3-preview/a57c42a01696a0c37de538e4bef09c6340d197e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USCA20706854","spotify:user:1224916230","2013-08-30T14:47:25Z"
"spotify:track:59th2qKHTfGto1UfvaIS4O","Me 'N You - Rudy Van Gelder Edition/2007 Digital Remaster","spotify:artist:6y7dRlvApiCjP12JrxWQjh","Ike Quebec","spotify:album:4ntjTCmyhwHIsK12RScxRP","Bossa Nova Soul Samba (Rudy Van Gelder Edition)","spotify:artist:6y7dRlvApiCjP12JrxWQjh","Ike Quebec","2007-01-01","https://i.scdn.co/image/ab67616d0000b273db50d7f089553b0f41d0293a","1","4","359333","https://p.scdn.co/mp3-preview/d1a528b094e8d9a2e8d9adb7e655140f5ddc7584?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USBN20700515","spotify:user:1224916230","2013-08-30T14:47:25Z"
