"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+24+Blackberry+Blossom:93","p. 24 Blackberry Blossom","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","93000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+25+Arkansas+Traveller:95","p. 25 Arkansas Traveller","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","95000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+26+Bill+Cheathem:91","p. 26 Bill Cheathem","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","91000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+27+Salt+Creek:91","p. 27 Salt Creek","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","91000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+28+Sally+Goodin:92","p. 28 Sally Goodin","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","92000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+41+John+Hardy+%5Binstr%5D:61","p. 41 John Hardy [instr]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","61000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+51+High+Dad+in+the+Morning+%5Binstr%5D:87","p. 51 High Dad in the Morning [instr]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","87000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+55+Cattle+in+the+Corn+%5Binstr%5D:99","p. 55 Cattle in the Corn [instr]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","99000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+56+June+Apple+%5Binstr%5D:59","p. 56 June Apple [instr]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","59000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+57+Blue+Eagle+%5Binstr%5D:54","p. 57 Blue Eagle [instr]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","54000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+58+Crazy+Creek+%5Binstr%5D:121","p. 58 Crazy Creek [instr]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","121000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
